month,revenue,cogs,gross_profit,sales_marketing,research_development,general_admin,total_opex,operating_income,operating_margin
2024-01-01,269032.59,59983.83,209048.76,111869.3,68306.9,37004.39,217180.59000000003,-8131.830000000016,-0.0302
2024-02-01,286188.82,63708.65,222480.17,109270.4,74903.44,37909.33,222083.16999999998,397.0000000000291,0.0014
2024-03-01,303739.35,66838.19,236901.15999999997,130017.42,70299.18,39821.7,240138.3,-3237.140000000014,-0.0107
2024-04-01,326931.06,71157.89,255773.16999999998,121606.25,75257.29,43103.21,239966.74999999997,15806.420000000013,0.0483
2024-05-01,344239.87,70860.5,273379.37,141736.34,88755.06,47928.17,278419.57,-5040.200000000012,-0.0146
2024-06-01,370006.02,79844.91,290161.11,164212.04,94149.8,53063.13,311424.97000000003,-21263.860000000044,-0.0575
2024-07-01,387831.17,83993.7,303837.47,147449.25,98415.03,55369.46,301233.74,2603.7299999999814,0.0067
2024-08-01,405941.81,86050.42,319891.39,157779.05,103595.02,60189.74,321563.81,-1672.4199999999837,-0.0041
2024-09-01,424387.12,92680.69,331706.43,170600.66,101767.87,59469.38,331837.91000000003,-131.48000000003958,-0.0003
2024-10-01,446205.8,99968.17,346237.63,173989.24,113105.94,68954.57,356049.75,-9812.119999999995,-0.022
2024-11-01,468064.83,111802.84,356261.99,172709.71,119073.86,64290.31,356073.88,188.10999999998603,0.0004
2024-12-01,486677.44,107918.67,378758.77,195338.34,116454.48,81373.29,393166.11,-14407.339999999967,-0.0296
2025-01-01,516134.58,114878.91,401255.67000000004,195488.0,143478.51,75488.13,414454.64,-13198.969999999972,-0.0256
2025-02-01,543860.65,119244.46,424616.19,222695.63,139830.65,71478.75,434005.03,-9388.840000000026,-0.0173
2025-03-01,575452.35,115557.9,459894.44999999995,219599.24,133580.01,74400.85,427580.1,32314.349999999977,0.0562
2025-04-01,605805.1,133116.5,472688.6,261101.2,157417.43,87735.56,506254.19,-33565.590000000026,-0.0554
2025-05-01,641783.31,141578.88,500204.43000000005,246659.75,151062.81,88415.52,486138.08,14066.350000000035,0.0219
2025-06-01,679076.14,166124.04,512952.1,267256.37,177786.39,99919.27,544962.03,-32009.93000000005,-0.0471
2025-07-01,708067.51,154412.81,553654.7,294747.51,189322.34,102480.29,586550.14,-32895.44000000006,-0.0465
2025-08-01,736473.08,164244.89,572228.19,276459.26,175052.11,102569.87,554081.24,18146.949999999953,0.0246
2025-09-01,763929.22,167799.26,596129.96,309046.95,202021.57,100481.19,611549.71,-15419.75,-0.0202
2025-10-01,792861.84,165163.6,627698.24,337872.41,203124.63,98990.01,639987.05,-12288.810000000056,-0.0155
2025-11-01,824216.58,190746.98,633469.6,303188.35,216217.48,111710.07,631115.8999999999,2353.70000000007,0.0029
2025-12-01,855523.44,194648.12,660875.32,345368.55,238222.12,127099.97,710690.6399999999,-49815.31999999995,-0.0582
