month,budget_revenue,budget_cogs,budget_sales_marketing,budget_research_development,budget_general_admin,budget_total_opex,budget_operating_income
2025-01-01,503711.15,100742.23,191410.24,120890.68,65482.45,377783.37,25185.55
2025-02-01,521341.04,104268.21,198109.6,125121.85,67774.34,391005.79000000004,26067.04
2025-03-01,539587.98,107917.6,205043.43,129501.11,70146.44,404690.98,26979.4
2025-04-01,558473.56,111694.71,212219.95,134033.65,72601.56,418855.16,27923.69
2025-05-01,578020.13,115604.03,219647.65,138724.83,75142.62,433515.1,28901.0
2025-06-01,598250.84,119650.17,227335.32,143580.2,77772.61,448688.13,29912.54
2025-07-01,619189.61,123837.92,235292.05,148605.51,80494.65,464392.20999999996,30959.48
2025-08-01,640861.25,128172.25,243527.28,153806.7,83311.96,480645.94,32043.06
2025-09-01,663291.39,132658.28,252050.73,159189.93,86227.88,497468.54000000004,33164.57
2025-10-01,686506.59,137301.32,260872.51,164761.58,89245.86,514879.94999999995,34325.32
2025-11-01,710534.32,142106.86,270003.04,170528.24,92369.46,532900.74,35526.72
2025-12-01,735403.03,147080.61,279453.15,176496.73,95602.39,551552.27,36770.15
